date,turbidity,ctd
2020-06-23,1.2761917,CTD10
2020-06-26,2.9547467,CTD10
2020-07-02,0.052123655,CTD10
2020-07-07,1.7240658,CTD10
2020-07-17,4.542995,CTD10
2020-07-23,3.9549568,CTD10
2020-07-28,2.8074944,CTD10
2020-08-04,3.2088363,CTD10
2020-08-13,2.4724386,CTD10
2020-08-19,0.8670068,CTD10
2020-08-26,1.1639392,CTD10
2020-09-03,1.1906114,CTD10
2020-09-10,1.0610138,CTD10
2020-09-16,1.5552717,CTD10
2020-09-24,0.44083372,CTD10
2020-09-30,0.872049,CTD10
2020-10-08,2.6499026,CTD10
2020-10-14,0.44312176,CTD10
2020-10-22,1.0444064,CTD10
2020-10-29,1.4565824,CTD10
2020-11-04,3.5001106,CTD10
2020-11-12,0.9132496,CTD10
2020-11-18,5.8245163,CTD10
2020-11-25,0.6004771,CTD10
2020-12-03,1.0546253,CTD10
2020-12-10,1.6700003,CTD10
2020-12-15,1.28177,CTD10
2020-12-21,1.2657572,CTD10
2020-12-29,1.4127336,CTD10
2021-01-05,1.6126958,CTD10
2021-01-13,2.673937,CTD10
2021-01-20,0.0,CTD10
2021-01-27,0.9064106,CTD10
2021-02-03,0.91065073,CTD10
2021-02-12,1.3531153,CTD10
2021-02-17,1.8829354,CTD10
2021-02-24,6.4382205,CTD10
2021-03-05,2.5611205,CTD10
2021-03-10,1.5536463,CTD10
2021-03-15,6.614407,CTD10
2021-03-24,1.1737957,CTD10
2021-04-06,1.6694056,CTD10
2021-04-13,3.304455,CTD10
2021-04-20,1.7821736,CTD10
2021-04-27,1.0220047,CTD10
2021-05-06,0.7317286,CTD10
2021-05-13,0.6591187,CTD10
2021-05-20,1.1236857,CTD10
2021-05-25,1.0530304,CTD10
2021-06-02,0.6204908,CTD10
2021-06-08,0.87052375,CTD10
2021-06-14,0.7433037,CTD10
2021-06-22,0.5748409,CTD10
2021-07-01,1.0113832,CTD10
2021-07-06,0.5745345,CTD10
2021-07-14,0.8836541,CTD10
2021-07-20,0.7370734,CTD10
2021-07-27,1.1539001,CTD10
2021-08-03,1.6220886,CTD10
2021-08-09,5.1346292,CTD10
2021-08-13,3.5685701,CTD10
2021-08-16,2.3968263,CTD10
2021-08-19,3.3039699,CTD10
2021-08-24,1.7749048,CTD10
2021-08-26,2.8387997,CTD10
2021-08-30,2.5559766,CTD10
2021-09-02,5.774772,CTD10
2021-09-13,2.872326,CTD10
2021-09-20,2.296754,CTD10
2021-09-27,0.05157434,CTD10
2021-09-30,3.15579,CTD10
2021-10-07,1.5240259,CTD10
2021-10-11,2.1797223,CTD10
2021-10-18,1.7405779,CTD10
2021-10-28,3.1314735,CTD10
2021-11-04,2.745887,CTD10
2021-11-11,1.1134613,CTD10
2021-11-18,1.8309507,CTD10
2021-11-26,13.546099,CTD10
2021-12-01,8.234179,CTD10
2021-12-10,4.124167,CTD10
2021-12-15,1.4271415,CTD10
2021-12-21,7.9588547,CTD10
2021-12-28,0.64035475,CTD10
2022-01-04,0.51768667,CTD10
2022-01-12,1.1255747,CTD10
2022-01-19,0.0,CTD10
2022-01-27,1.0932109,CTD10
2022-02-02,0.26349583,CTD10
2022-02-10,1.2657065,CTD10
2022-02-16,0.9077499,CTD10
2022-02-24,1.037135,CTD10
2022-03-02,0.9870926,CTD10
2022-03-11,1.4239489,CTD10
2022-03-24,5.405779,CTD10
2022-03-28,4.5693936,CTD10
2022-04-06,6.874201,CTD10
2022-04-11,9.024263,CTD10
2022-04-19,1.1989816,CTD10
2022-04-22,2.019004,CTD10
2022-04-27,1.5004435,CTD10
2022-05-06,2.3371592,CTD10
2022-05-13,1.8702506,CTD10
2022-05-18,2.2102087,CTD10
2022-05-26,1.7371875,CTD10
2022-06-02,0.84075916,CTD10
2022-06-10,1.485932,CTD10
2022-06-17,0.66461426,CTD10
2022-06-24,0.95923316,CTD10
2022-06-30,1.3861513,CTD10
2022-07-06,2.0878515,CTD10
2022-07-14,0.86507064,CTD10
2022-07-20,0.901481,CTD10
2022-07-28,0.73251605,CTD10
2022-08-03,1.2032647,CTD10
2022-08-11,0.40886864,CTD10
2022-08-17,0.64879316,CTD10
2022-08-24,1.4401971,CTD10
2022-09-01,3.2151783,CTD10
2022-09-07,0.090645164,CTD10
2022-09-15,0.8338829,CTD10
2022-09-21,1.2666054,CTD10
2022-09-29,1.3312781,CTD10
2022-10-05,2.3192825,CTD10
2022-10-11,2.28426,CTD10
2022-10-18,2.057077,CTD10
2022-10-26,1.0275882,CTD10
2022-11-02,1.3891727,CTD10
2022-11-09,0.6739119,CTD10
2022-11-17,0.9382173,CTD10
2022-11-24,3.0282419,CTD10
2022-12-01,0.7079476,CTD10
2022-12-07,0.79750335,CTD10
2022-12-16,0.5475807,CTD10
2022-12-20,0.91080135,CTD10
2022-12-27,4.514801,CTD10
2023-01-03,0.584032,CTD10
2023-01-10,0.58994883,CTD10
2023-01-20,1.4456182,CTD10
2023-01-25,0.4140624,CTD10
2023-02-01,0.44815505,CTD10
2023-02-08,2.9212666,CTD10
