date,turbidity,ctd
2023-08-24,1.1441565,CTD8
2023-10-05,1.3451111,CTD8
2023-10-17,1.458829,CTD8
2023-11-08,8.969757,CTD8
2023-11-16,1.2235863,CTD8
2023-11-24,2.64311,CTD8
2023-12-07,0.9673054,CTD8
2023-12-19,1.2989727,CTD8
2023-12-27,0.55411035,CTD8
2024-01-09,1.8888471,CTD8
2024-01-16,0.54678077,CTD8
2024-01-23,1.8882592,CTD8
2024-02-13,1.4095119,CTD8
2024-02-20,0.37782162,CTD8
2024-03-13,1.0284597,CTD8
2024-04-10,0.8805531,CTD8
2024-04-24,2.3120167,CTD8
2024-05-22,0.66009176,CTD8
2024-05-29,1.7574018,CTD8
2024-06-18,1.3834705,CTD8
2024-06-25,0.90738916,CTD8
2024-07-03,0.7817623,CTD8
2021-08-24,2.5626316,CTD9
2021-08-26,3.1352518,CTD9
2021-09-30,4.068452,CTD9
2023-01-10,0.9441514,CTD9
2023-01-20,1.2633473,CTD9
2023-02-01,0.7757811,CTD9
2023-03-01,0.0,CTD9
2023-03-16,1.1841683,CTD9
2023-03-22,1.5163797,CTD9
2023-03-29,2.969197,CTD9
2023-06-21,1.0898229,CTD9
2023-08-17,2.1052535,CTD9
2023-08-24,0.96538395,CTD9
2023-10-05,1.0945102,CTD9
2023-10-17,1.6057951,CTD9
2023-11-08,10.4884615,CTD9
2023-11-16,1.1583376,CTD9
2023-11-24,2.5111303,CTD9
2023-12-07,0.729036,CTD9
2023-12-19,1.5772545,CTD9
2023-12-27,0.51762307,CTD9
2024-01-09,2.2785041,CTD9
2024-01-16,0.5429994,CTD9
2024-01-23,1.815784,CTD9
2024-02-13,1.4188757,CTD9
2024-02-20,0.3791193,CTD9
2024-03-13,1.0131247,CTD9
2024-04-10,0.67295265,CTD9
2024-04-24,2.3381732,CTD9
2024-05-22,0.6743755,CTD9
2024-05-29,1.859696,CTD9
2024-06-18,1.4861696,CTD9
2024-06-25,1.015936,CTD9
2024-07-03,0.8573232,CTD9
